text,label,type
Guide to learning Python programming for beginners,0,
How to bake a chocolate cake step by step,0,
Introduction to data structures and algorithms,0,
Top tourist destinations to visit in Europe,0,
Beginner's tutorial on HTML and CSS for web development,0,
A complete guide to healthy eating habits,0,
History of the Roman Empire explained for students,0,
Basics of cloud computing and its benefits,0,
Tips for staying productive while working from home,0,
How to create a personal finance budget,0,
Beginner's guide to yoga and meditation,0,
Exploring the solar system and space travel history,0,
Best practices for clean coding in Java,0,
Top 10 movies to watch this year,0,
Learning Git and GitHub for version control,0,
How to grow indoor plants easily at home,0,
An overview of machine learning algorithms,0,
Beginner's guide to photography techniques,0,
Understanding blockchain and cryptocurrency basics,0,
Review of the latest iPhone model features,0,
How to improve your public speaking skills,0,
Introduction to cybersecurity for beginners,0,
A simple recipe for making homemade pizza,0,
Tips for preparing for job interviews effectively,0,
A complete guide to traveling in Japan,0,
How to start investing in the stock market,0,
Best programming languages to learn in 2025,0,
Overview of World War II historical events,0,
Tips for maintaining a healthy work life balance,0,
Guide to writing better resumes and cover letters,0,
Learning how to build REST APIs with Flask,0,
Beginner's tutorial for creating mobile apps,0,
Basics of using Microsoft Excel efficiently,0,
Understanding artificial intelligence in simple terms,0,
How to train for a marathon step by step,0,
Explaining the fundamentals of physics to students,0,
A simple guide to online privacy and security,0,
How to build muscle with a proper diet plan,0,
Learning how to cook pasta like a professional,0,
Tips for saving money on monthly expenses,0,
Beginner's guide to playing the guitar,0,
Understanding how the internet works,0,
How to write clean and maintainable code,0,
A guide to understanding climate change,0,
Step by step tutorial for drawing cartoons,0,
Tips for becoming a better photographer,0,
How to plan a perfect wedding on a budget,0,
Learning how to drive a car safely,0,
Guide to making better YouTube videos,0,
How to fix common computer problems,0,
A guide to buying your first home,0,
Learning basic Spanish phrases for travel,0,
Top 5 tips for exam preparation success,0,
Guide to building a personal portfolio website,0,
An introduction to basic graphic design,0,
Understanding mental health and well being,0,
Best tips for effective time management,0,
How to start a blog and grow an audience,0,
A beginner's guide to astronomy and stargazing,0,
Learning how to edit videos professionally,0,
Steps to adopt a pet dog or cat,0,
A guide to creating strong passwords,0,
Guide to learning Python programme for founder,0,
Guide to learning Python programme for beginners,0,
Scout to watch Python programming for beginners,0,
How to bake a cocoa cake dance step by step,0,
How to bake a chocolate cake pace by stone's throw,0,
How to broil a chocolate cake step by step,0,
Introduction to data structures and algorithmic program,0,
Introduction to data body structure and algorithms,0,
Introduction to data social organisation and algorithms,0,
Top tourist destinations to chat in Europe,0,
Top tourist destinations to inspect in European union,0,
Top holidaymaker destinations to bring down in Europe,0,
Father ' s tutorial on hypertext markup language and CSS for www development,0,
Initiate ' s tutorial on hypertext mark up language and CSS for web development,0,
Tiro ' s tutorial on hypertext markup language and CSS for web development,0,
A gross templet to sizeable eating habits,0,
A stark templet to sizable eating habits,0,
A complete templet to healthy feeding riding habit,0,
Story of the Roman Empire explained for student,0,
